chemotype,compound_id,compound_name,serum_active,label_source,confidence,detail
papulacandin,PAPU-0083,Fusacandin analog 6m,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0083,Fusacandin analog 6m,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0084,Fusacandin analog 6n,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0084,Fusacandin analog 6n,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0084,Fusacandin analog 6n,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =6.25 ug/mL
papulacandin,PAPU-0084,Fusacandin analog 6n,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0084,Fusacandin analog 6n,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0085,Fusacandin analog 6o,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0085,Fusacandin analog 6o,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0085,Fusacandin analog 6o,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =6.25 ug/mL
papulacandin,PAPU-0085,Fusacandin analog 6o,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0085,Fusacandin analog 6o,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0086,Fusacandin analog 6p,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0086,Fusacandin analog 6p,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
papulacandin,PAPU-0086,Fusacandin analog 6p,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =6.25 ug/mL
papulacandin,PAPU-0086,Fusacandin analog 6p,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =25.0 ug/mL
papulacandin,PAPU-0086,Fusacandin analog 6p,1,papulacandin_serum_mic,high,50% mouse serum; Candida albicans; MIC =12.5 ug/mL
